"","GSM1423267","GSM1423268","GSM1423269","GSM1423270","GSM1423271","GSM1423272","GSM1423273","GSM1423274","GSM1423275","GSM1423276","GSM1423277","GSM1423278","GSM1423279","GSM1423280","GSM1423281","GSM1423283","GSM1423285","GSM1423287","GSM1423289","GSM1423291","GSM1423293","GSM1423295","GSM1423297","GSM1423299","GSM1423301","GSM1423303","GSM1423305","GSM1423307","GSM1423311","GSM1423316"
"11715119_s_at",5.614143607,6.17811655,5.794162849,7.646654584,9.434237541,5.822293727,5.702758566,6.967373376,6.087299147,6.308629595,10.76067167,4.370807243,7.52162288,9.395176928,9.601125239,9.391076295,9.661306056,4.2836351,9.939238529,8.036772346,7.269635938,9.765501637,8.123860705,8.116193605,7.043161809,9.376616102,6.109828819,7.37714683,9.417618024,9.891104179
"11717345_a_at",5.918685687,5.846352508,5.707979382,6.396331971,11.35308173,4.987061363,5.498933229,6.524708568,5.36448379,5.282553922,9.532186376,5.271899698,8.286286734,10.28420893,11.7356717,11.17961387,8.96443031,5.867764413,9.092465029,7.523249989,6.325152283,9.049038744,6.195731398,7.255924413,9.374377603,7.753373273,7.119744297,5.479913133,9.8001277,7.934150351
"11722728_a_at",4.246518725,5.278869388,6.027616862,7.834794976,10.81804566,5.186577348,4.896929296,7.525821089,5.248305189,3.899818637,8.510426339,4.247764022,8.97938549,9.486412203,10.57752876,10.55311438,9.603704941,3.890074607,8.694613566,8.560469478,6.872821803,8.883876835,6.87873025,7.757151547,8.025258174,8.395594766,7.298231684,6.403325535,7.914122279,8.202114668
"11731392_at",3.665469175,3.316822653,3.52622822,4.113882098,7.501863832,3.562413643,3.6445718,3.913805151,3.585949353,3.519649348,3.378598692,3.539470394,4.760921437,4.9491292,7.072970741,6.788054152,9.360549843,3.653217695,9.318879363,6.857512364,4.734041921,8.332976106,5.596942246,6.093953065,4.291264833,7.350690701,6.913485882,4.088242811,5.883984884,6.649094986
"11716384_at",6.570212173,7.43575144,7.103414764,8.1574914,10.38480699,6.975490283,7.359637163,6.712206857,6.727737485,8.176694367,8.542309819,5.463989428,8.718217975,9.686486425,10.8642743,10.60140173,12.4271204,5.287709199,12.18910784,10.44911703,8.00009442,11.52132396,8.814279771,7.543827677,8.932698222,11.34769975,9.715707606,7.850276721,11.02624145,10.91020451
"11718213_a_at",8.719607606,5.379754318,7.54460661,6.499892747,4.098585655,9.161611053,4.847817761,8.164966435,5.859178085,7.397009295,5.120431652,4.378534681,3.978917605,6.417124317,5.456721606,3.912701966,4.352334658,4.363638534,5.526920446,8.821275041,7.383978457,4.755233715,7.773206817,9.023915684,3.929556011,7.9460168,4.281964199,5.37545925,6.843154983,4.321941492
"11750458_x_at",11.56104728,7.40833482,8.541128757,9.573937988,6.699890266,8.516336501,9.175674716,11.02442283,4.583082647,7.534404909,6.431709532,6.390425969,12.20104598,5.380143436,10.64480553,6.287918039,8.468285901,5.974404373,9.275244618,9.831553064,8.200377738,6.499193193,7.852094028,10.55692152,5.639181858,9.613772633,6.325940608,7.585950253,5.842120648,7.949057535
"11747137_x_at",4.763197169,4.968627882,4.989615664,7.728241553,4.823327294,7.712363448,7.858049905,4.454614841,8.410354765,8.687205852,7.640630359,7.722805794,8.076628786,7.656949458,8.402567814,4.763033873,4.089701105,7.561294841,3.549995775,7.132112547,7.185803045,3.760294842,8.211298691,3.797136079,7.768739274,7.131281809,7.242870442,8.227011592,3.989588516,8.215463128
"11716771_s_at",6.145727279,6.803755586,6.245699362,8.679003358,10.88218535,6.376676674,6.888607379,7.309938269,7.511605295,6.343895944,9.466226223,7.43586578,8.212270388,9.576228001,10.91768762,10.96481517,10.9803164,7.336239328,10.56164161,10.65362049,10.33012203,11.00999393,9.326046038,10.37080274,9.659244262,10.13353142,10.29272132,8.886669143,10.37140784,10.13154016
"11757312_x_at",5.294543402,5.018586753,4.354764777,5.157769024,6.521807219,5.177191113,4.447689154,4.564714244,5.106070874,4.24333746,7.407741639,6.441028707,5.599404345,6.533425447,8.324992341,6.384975076,8.215719262,6.716560287,9.690332138,8.113842429,6.748980316,9.368464928,7.39309255,5.732297309,7.838206456,9.546145583,8.236659671,5.40393544,11.26132782,8.545042041
